"objectClass","attributeID","name","whenCreated","whenChanged","event"
"attributeSchema","1.2.840.113556.1.4.265","Additional-Information","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.889","Additional-Trusted-Service-Names","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.256","Address","2009-02-11 18:37:08","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1244","Address-Book-Roots","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.2046","Address-Book-Roots2","2009-02-11 18:37:20","2014-02-18 10:02:46","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.324","Address-Entry-Display-Table","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.400","Address-Entry-Display-Table-MSDOS","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.617","Address-Home","2009-02-11 18:37:08","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.255","Address-Syntax","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.350","Address-Type","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.614","Admin-Context-Menu","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.150","Admin-Count","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.226","Admin-Description","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.194","Admin-Display-Name","2009-02-11 18:37:08","2014-02-18 10:02:50","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1690","Admin-Multiselect-Property-Pages","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.562","Admin-Property-Pages","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.913","Allowed-Attributes","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.914","Allowed-Attributes-Effective","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.911","Allowed-Child-Classes","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.912","Allowed-Child-Classes-Effective","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.867","Alt-Security-Identities","2009-02-11 18:37:08","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1208","ANR","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.218","Application-Name","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.341","Applies-To","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.848","App-Schema-Version","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.283","Asset-Number","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.652","Assistant","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.37","associatedDomain","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.38","associatedName","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1213","Assoc-NT-Account","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.58","attributeCertificateAttribute","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.748","Attribute-Display-Names","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.30","Attribute-ID","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.149","Attribute-Security-GUID","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.32","Attribute-Syntax","2009-02-11 18:37:08","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","2.5.21.5","Attribute-Types","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.55","audio","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.202","Auditing-Policy","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.11","Authentication-Options","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.38","Authority-Revocation-List","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.351","Auxiliary-Class","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.49","Bad-Password-Time","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.12","Bad-Pwd-Count","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.332","Birth-Location","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.3.6.1.1.1.1.24","BootFile","2009-02-11 18:37:18","2014-02-18 10:02:46","2009-02-11"
"attributeSchema","1.3.6.1.1.1.1.23","BootParameter","2009-02-11 18:37:18","2014-02-18 10:02:46","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.820","Bridgehead-Server-List-BL","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.819","Bridgehead-Transport-List","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.48","buildingName","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.13","Builtin-Creation-Time","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.14","Builtin-Modified-Count","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.15","Business-Category","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.284","Bytes-Per-Minute","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.37","CA-Certificate","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.697","CA-Certificate-DN","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.687","CA-Connect","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.916","Canonical-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.815","Can-Upgrade-Script","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.16.840.1.113730.3.1.1","carLicense","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.675","Catalogs","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.672","Categories","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.322","Category-Id","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.690","CA-Usages","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.688","CA-WEB-URL","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.684","Certificate-Authority-Object","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.39","Certificate-Revocation-List","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.823","Certificate-Templates","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.610","Class-Display-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.16","Code-Page","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.19","COM-ClassID","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.249","COM-CLSID","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.20","COM-InterfaceID","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.81","Comment","2009-02-11 18:37:09","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","2.5.4.3","Common-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.253","COM-Other-Prog-Id","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.146","Company","2009-02-11 18:37:09","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.21","COM-ProgID","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.251","COM-Treat-As-Class-Id","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.254","COM-Typelib-Id","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.250","COM-Unique-LIBID","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.24","Content-Indexing-Allowed","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.499","Context-Menu","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.200","Control-Access-Rights","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.135","Cost","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.25","Country-Code","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.6","Country-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.810","Create-Dialog","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.18.1","Create-Time-Stamp","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.812","Create-Wizard-Ext","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.26","Creation-Time","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.498","Creation-Wizard","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.679","Creator","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.689","CRL-Object","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.683","CRL-Partitioned-Revocation-List","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.40","Cross-Certificate-Pair","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.335","Current-Location","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.696","Current-Parent-CA","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.27","Current-Value","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.337","Curr-Machine-Id","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.55","DBCS-Pwd","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.213","Default-Class-Store","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.480","Default-Group","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.518","Default-Hiding-Value","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.57","Default-Local-Policy-Object","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.783","Default-Object-Category","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.232","Default-Priority","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
